count,date,title,description,org_link,link
179,2024-08-13 13:35:00,"SK하이닉스, 식각공정에 가우스랩스 'AI 가상계측 솔루션' 도입",SK하이닉스(000660)가 투자한 산업용 <b>인공지능</b>(AI) 기업 가우스랩스가 AI 기반 가상 계측 솔루션 ‘파놉테스 2.0’을 출시했다고 13일 밝혔다. 이 솔루션은 장비에 설치된 센서에서 수집한 데이터를 활용해 제조 공정 결과를... ,https://www.sedaily.com/NewsView/2DD01K0CN2,https://n.news.naver.com/mnews/article/011/0004379687?sid=101
180,2024-08-13 13:34:00,삼성D &quot;OLED 발광체 효율성 극대화한 소재 개발&quot;,삼성디스플레이와 LG디스플레이가 <b>인공지능</b>(AI) 시장을 겨냥한 디스플레이로 나란히 유기발광다이오드(OLED)를 지목했다. 삼성디스플레이는 고효율 발광체와 설계 등 개발을 통해 온디바이스 AI 시장을 공략한단... ,https://www.sisajournal-e.com/news/articleView.html?idxno=404960,https://www.sisajournal-e.com/news/articleView.html?idxno=404960
181,2024-08-13 13:34:00,"휴런, 태국 마히돌대학 시리라즈 병원과 연구 협약 체결","휴런 박찬익 부사장, 마히돌대학 Yodchanan Wongsawat 교수, 연구책임자 Pipat Chiewvit 교수 <b>인공지능</b> 기업 휴런(대표 신동훈)은 최근 태국 방콕에서 마히돌대학교 시리라즈 병원과 연구 협약을 맺었다고 밝혔다.... ",http://www.bokuennews.com/news/article.html?no=247833,http://www.bokuennews.com/news/article.html?no=247833
182,2024-08-13 13:34:00,"시스코, 정부 주도 '서울 AI 기업 서약' 동참 선언","삼성전자, KT, 마이크로소프트, 구글, 오픈 AI 등 국내외 <b>인공지능</b>(AI) 관련 기업 14곳이 참여 의사를 밝혔으며 △국제 표준 개발을 위한 협력 강화 △지속가능한 AI 발전과 혁신을 위한 시스템 개발 및 투자... ",http://www.itdaily.kr/news/articleView.html?idxno=226054,http://www.itdaily.kr/news/articleView.html?idxno=226054
183,2024-08-13 13:34:00,"종합순위 8위 파리올림픽 선전, '한돈'도 일조했다",해당 시리즈는 생성형 AI(<b>인공지능</b>)를 활용한 콘텐츠로 참신하고 신선한 방법으로 제작했다는 점이 눈길을 끌었다. 또 다 함께 실제로 춤을 추며 선수단을 응원하는 '국돼 응원가 댄스챌린지'도 전개했다. 인기 남성 듀오... ,http://www.agrinet.co.kr/news/articleView.html?idxno=329913,http://www.agrinet.co.kr/news/articleView.html?idxno=329913
184,2024-08-13 13:34:00,"KT대구경북광역본부·중기 경북지역본부, 경영 안정 지원 MOU 체결","대구 북구 KT북대구빌딩에서 협약식을 진행한 양 기관은 경북 중소기업의 성장과 발전을 위해 '중기중앙회 지원사업 활성화 디지털 전환 인프라 지원', 'AI(<b>인공지능</b>)를 활용한 물류 자동화 환경 조성 운영 비용 절감 및... ",https://www.kyongbuk.co.kr/news/articleView.html?idxno=4016850,https://www.kyongbuk.co.kr/news/articleView.html?idxno=4016850
185,2024-08-13 13:34:00,"알피바이오, 생성형AI 콘텐츠 공개…MZ세대 소통",알피바이오가 MZ세대 지원 국책사업인 ‘일 경험 청년’ 협업을 통해 생성형 <b>인공지능</b>(AI) 기술을 적용한 기업 홍보 콘텐츠를 공개했다고13일 밝혔다. 알피바이오는 지난 5월부터 고용노동부가 주관 ‘미래 내일 일... ,https://www.dailypharm.com/Users/News/NewsView.html?ID=314436&REFERER=NP,https://www.dailypharm.com/Users/News/NewsView.html?ID=314436&REFERER=NP
186,2024-08-13 13:33:00,"중부발전, VPP고도화로 에너지플랫폼 시장 선점…V2G 등 신사업 `앞장`",<b>인공지능</b>(AI) 학습을 통한 발전량 예측 알고리즘을 강화해 전력계통 안정화에도 기여하고 있다. 또 전국을 대상으로 전력중개자원 태양광·풍력 724㎿를 모집·운영하고 있다. 이는 표준석탄화력 1기인 500㎿를... ,https://www.dt.co.kr/contents.html?article_no=2024081302109958050001&ref=naver,https://n.news.naver.com/mnews/article/029/0002894934?sid=101
187,2024-08-13 13:32:00,"충남대병원 정재욱 교수, 글로벌 의사과학자 양성 사업 선정",정재욱 교수는 이러한 폐암 오가노이드 연구의 근본적인 문제점을 해결하기 위해서 '오가노이드의 3차원 이미지'와 '멀티 오믹스 빅데이터'를 <b>인공지능</b>으로 분석해 실시간으로 폐암 오가노이드의 특성 및 상태를 확인할... ,https://www.joongdo.co.kr/web/view.php?key=20240813010003455,https://www.joongdo.co.kr/web/view.php?key=20240813010003455
188,2024-08-13 13:32:00,현재 전술적 교정 단계…모간스탠리가 픽한 AI 관련주,<b>인공지능</b> 기업들이 대체로 불안정한 한 주를 보내고 관망세에 돌입한 가운데 모간스탠리가 유럽 주식 가능성을 높게 평가했다. CNBC는 12일(현지 시각) 모간스탠리의 연구 노트를 인용해 &quot;1990년대 연착륙과 유사한... ,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202408130103&t=NN,https://n.news.naver.com/mnews/article/215/0001175091?sid=101
